iter	Passed	Remaining
1440	55206	59726
1441	55243	59687
1442	55282	59649
1443	55319	59610
1444	55359	59573
1445	55397	59534
1446	55436	59497
1447	55474	59458
1448	55511	59419
1449	55550	59381
1450	55587	59341
1451	55625	59302
1452	55662	59262
1453	55699	59223
1454	55738	59186
1455	55776	59147
1456	55813	59108
1457	55850	59068
1458	55887	59028
1459	55924	58989
1460	55964	58951
1461	56002	58913
1462	56038	58873
1463	56076	58834
1464	56113	58794
1465	56152	58757
1466	56191	58719
1467	56230	58681
1468	56268	58643
1469	56304	58603
1470	56341	58562
1471	56379	58524
1472	56417	58485
1473	56457	58448
1474	56496	58411
1475	56533	58371
1476	56570	58332
1477	56609	58294
1478	56648	58257
1479	56686	58218
1480	56722	58178
1481	56759	58137
1482	56796	58098
1483	56833	58059
1484	56873	58022
1485	56910	57982
1486	56948	57943
1487	56985	57904
1488	57022	57865
1489	57062	57828
1490	57100	57790
1491	57138	57751
1492	57175	57711
1493	57212	57672
1494	57250	57632
1495	57288	57594
1496	57325	57555
1497	57362	57516
1498	57401	57477
1499	57441	57441
1500	57480	57403
1501	57519	57366
1502	57556	57326
1503	57593	57287
1504	57630	57247
1505	57667	57208
1506	57706	57170
1507	57744	57131
1508	57781	57092
1509	57819	57053
1510	57856	57014
1511	57894	56975
1512	57933	56938
1513	57971	56899
1514	58012	56863
1515	58049	56824
1516	58086	56784
1517	58123	56745
1518	58160	56705
1519	58198	56667
1520	58236	56628
1521	58273	56588
1522	58311	56550
1523	58349	56511
1524	58388	56473
1525	58429	56438
1526	58466	56399
1527	58504	56360
1528	58541	56320
1529	58578	56281
1530	58618	56244
1531	58655	56205
1532	58692	56165
1533	58730	56126
1534	58767	56087
1535	58805	56049
1536	58843	56010
1537	58880	55971
1538	58918	55932
1539	58956	55893
1540	58994	55854
1541	59032	55816
1542	59069	55777
1543	59106	55737
1544	59144	55698
1545	59180	55659
1546	59217	55619
1547	59255	55580
1548	59292	55541
1549	59330	55502
1550	59368	55464
1551	59406	55425
1552	59444	55387
1553	59483	55349
1554	59520	55309
1555	59557	55270
1556	59594	55231
1557	59632	55192
1558	59670	55153
1559	59708	55115
1560	59745	55076
1561	59783	55037
1562	59821	54998
1563	59858	54959
1564	59897	54922
1565	59935	54883
1566	59974	54845
1567	60012	54807
1568	60049	54768
1569	60086	54728
1570	60124	54689
1571	60162	54651
1572	60199	54612
1573	60237	54573
1574	60275	54535
1575	60313	54496
1576	60350	54457
1577	60389	54419
1578	60429	54382
1579	60467	54344
1580	60505	54305
1581	60542	54266
1582	60580	54228
1583	60617	54188
1584	60654	54149
1585	60692	54110
1586	60730	54071
1587	60767	54032
1588	60805	53993
1589	60843	53955
1590	60882	53917
1591	60919	53878
1592	60956	53838
1593	60993	53799
1594	61033	53763
1595	61073	53726
1596	61112	53688
1597	61149	53649
1598	61186	53609
1599	61224	53571
1600	61262	53532
1601	61299	53493
1602	61337	53454
1603	61374	53415
1604	61413	53378
1605	61453	53340
1606	61491	53302
1607	61528	53263
1608	61567	53225
1609	61604	53186
1610	61641	53147
1611	61680	53109
1612	61718	53071
1613	61755	53032
1614	61793	52993
1615	61831	52954
1616	61869	52916
1617	61907	52877
1618	61945	52839
1619	61983	52800
1620	62020	52761
1621	62058	52722
1622	62096	52684
1623	62135	52646
1624	62173	52608
1625	62211	52569
1626	62251	52532
1627	62290	52495
1628	62329	52457
1629	62368	52420
1630	62408	52383
1631	62446	52345
1632	62484	52306
1633	62520	52266
1634	62559	52228
1635	62596	52189
1636	62633	52150
1637	62671	52111
1638	62709	52072
1639	62746	52033
1640	62784	51994
1641	62820	51955
1642	62858	51916
1643	62895	51877
1644	62932	51838
1645	62970	51799
1646	63008	51761
1647	63047	51723
1648	63085	51685
1649	63122	51645
1650	63160	51606
1651	63197	51567
1652	63234	51528
1653	63271	51489
1654	63309	51451
1655	63347	51412
1656	63385	51374
1657	63423	51335
1658	63462	51297
1659	63500	51259
1660	63539	51221
